id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
27529,Male,Urban,High School,42.99,0,0,3849.0,1,A,Platinum,66816
27116,Male,Rural,Bachelor,5.33,1,6,3006.0,More than 1,A,Gold,67164
6499,Female,Urban,High School,2.26,1,2,,More than 1,A,Platinum,68076
61863,Male,Rural,High School,20.29,1,8,2844.0,More than 1,A,Platinum,63276
25045,Female,Urban,High School,5.63,0,6,6370.0,More than 1,A,Platinum,245844
46707,Female,Rural,High School,7.46,0,2,0.0,More than 1,A,Platinum,143352
24903,Male,Urban,High School,0.52,0,3,6786.0,1,A,Silver,55008
34037,Female,Urban,Bachelor,3.88,0,7,2518.0,More than 1,B,Platinum,60708
25376,Female,Urban,High School,,0,7,0.0,More than 1,A,Gold,80076
76738,Male,,Others,6.62,0,4,4176.0,1,A,Gold,76092
7091,Female,,Bachelor,4.04,0,5,0.0,More than 1,A,Gold,104760
84930,Female,Urban,High School,6.21,0,2,5349.0,More than 1,A,Platinum,57240
25803,Male,Rural,Bachelor,5.85,1,6,2496.0,More than 1,A,Platinum,64320
15122,Female,Rural,High School,8.12,0,4,3437.0,More than 1,A,Platinum,42852
77156,Female,Urban,Bachelor,6.01,1,2,2432.0,More than 1,B,Platinum,191484
79905,Female,Urban,High School,2.8,1,5,6623.0,1,C,Silver,30816
80508,Female,Rural,High School,2.39,0,1,0.0,1,B,Platinum,58716
16078,Male,Urban,Bachelor,36.35,1,5,6333.0,1,A,Platinum,29316
69405,Male,Rural,Others,9.32,1,5,,More than 1,C,Platinum,288288
7428,Female,Urban,High School,9.84,1,7,3975.0,More than 1,A,Gold,65988
51259,Male,Rural,High School,5.57,0,2,9780.0,More than 1,A,Gold,93468
81915,Male,Urban,Bachelor,2.03,1,5,0.0,1,B,Silver,45756
33951,Female,Urban,High School,9.87,1,4,6794.0,More than 1,A,Platinum,67584
34101,Female,Urban,High School,5.13,1,1,5257.0,1,C,Platinum,29244
1237,Male,Urban,Bachelor,2.99,1,6,4305.0,More than 1,A,Platinum,107940
81721,Female,Urban,High School,3.37,0,5,,More than 1,B,Silver,64944
11607,Male,,Bachelor,9.43,0,8,5798.0,More than 1,,Gold,46788
46114,Male,Urban,High School,0.86,0,3,9703.0,More than 1,A,Silver,126132
55661,Male,Rural,High School,5.93,0,5,7839.0,More than 1,B,Platinum,172128
33255,Female,Urban,High School,9.9,0,2,3979.0,More than 1,A,Silver,29724
7734,Female,,High School,5.55,0,5,6042.0,1,C,Platinum,31488
5870,Female,Rural,Bachelor,3.56,0,6,3887.0,1,A,Silver,66732
22614,Male,,High School,,1,0,0.0,1,A,Silver,53952
32875,Male,Urban,Bachelor,6.44,1,3,6426.0,More than 1,A,Silver,51432
5012,Male,Urban,Bachelor,2.01,0,6,7009.0,1,B,Gold,31392
69269,Male,,High School,56.08,0,6,0.0,More than 1,B,Silver,33648
83005,Female,Rural,Bachelor,7.53,1,4,3147.0,More than 1,A,Platinum,107328
43828,Female,Rural,Bachelor,95.54,1,8,2264.0,More than 1,,Gold,77100
42125,Female,Rural,Bachelor,5.0,1,3,0.0,More than 1,B,Platinum,125496
54010,Male,Rural,Bachelor,3.63,1,4,9809.0,More than 1,B,Platinum,95580
84838,Male,Urban,Bachelor,6.45,1,1,7241.0,More than 1,A,Platinum,97956
51204,Female,Rural,High School,8.98,0,2,0.0,More than 1,B,Platinum,53196
18121,Male,,Bachelor,,0,6,4752.0,1,A,Gold,29868
21219,Female,Rural,High School,6.83,1,6,0.0,More than 1,A,Silver,71424
51036,Male,Urban,Bachelor,40.7,0,6,7440.0,More than 1,A,Platinum,103092
51599,Female,Rural,High School,3.74,0,5,0.0,More than 1,B,Silver,94800
21788,Female,Urban,High School,3.71,0,7,4679.0,More than 1,A,Platinum,345576
75949,Male,Rural,High School,9.2,0,3,0.0,1,,Gold,61812
59632,Male,Rural,Bachelor,7.69,1,6,2480.0,More than 1,A,Platinum,103632
49532,Male,Rural,Bachelor,7.06,1,3,0.0,1,B,Platinum,57288
36861,Male,Urban,High School,2.87,1,6,9445.0,More than 1,A,Platinum,452076
62163,Female,Urban,High School,6.52,0,6,6079.0,1,A,Gold,37776
34237,Female,Urban,High School,,1,6,3075.0,More than 1,A,Silver,109932
57805,Male,Urban,Bachelor,6.79,1,6,0.0,More than 1,A,Platinum,102204
13805,Male,Urban,Bachelor,6.83,0,8,5635.0,More than 1,B,Platinum,63828
72080,Male,Urban,High School,6.93,0,8,12683.0,More than 1,B,Gold,605112
88007,Male,Rural,High School,5.6,1,7,0.0,More than 1,B,Platinum,62952
79902,Female,Rural,Bachelor,7.08,0,7,0.0,1,A,Silver,60756
42529,Male,,Bachelor,8.92,1,4,4022.0,More than 1,A,Gold,67020
58551,Male,Urban,Bachelor,8.9,0,7,9138.0,More than 1,A,Silver,163332
79947,Male,Urban,High School,2.18,0,5,5459.0,More than 1,A,Gold,282984
60341,Male,Rural,Bachelor,9.78,0,8,0.0,1,B,Silver,29256
16848,Female,Rural,Bachelor,61.07,0,4,0.0,1,B,Platinum,48012
86233,Female,Rural,Bachelor,5.02,1,7,0.0,More than 1,B,Platinum,65352
13100,Male,Urban,High School,5.54,1,1,5558.0,More than 1,A,Platinum,62160
7695,Male,Urban,Bachelor,5.43,1,8,3910.0,More than 1,B,Platinum,110028
36340,Male,Urban,Bachelor,8.75,0,4,3080.0,More than 1,A,Platinum,73044
50607,Female,Urban,Others,9.15,0,5,9447.0,1,,Platinum,31860
33588,Male,Urban,High School,2.67,1,3,3705.0,More than 1,A,Silver,59100
55365,Male,Urban,Bachelor,7.24,0,4,3134.0,More than 1,A,Platinum,109044
51597,Female,Urban,High School,78.75,0,3,0.0,More than 1,A,Platinum,166296
35583,Male,Urban,Bachelor,8.48,1,5,4048.0,More than 1,A,Platinum,62052
45951,Male,Rural,High School,4.68,0,2,3744.0,More than 1,A,Platinum,35736
62159,Female,,High School,4.42,1,4,4535.0,1,B,Platinum,37536
18050,Female,Urban,Bachelor,8.11,0,5,3380.0,More than 1,A,Platinum,388200
11633,Female,Urban,Bachelor,86.3,1,2,14919.0,More than 1,A,Gold,105264
